stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:659:0:1","Karmeliterplatz","48.21569436","16.37986292","0100"
"at:49:659:0:2","Karmeliterplatz","48.21594576","16.38039293","0100"
"at:49:659:0:3","Karmeliterplatz","48.21600561","16.38041090","0100"
"at:49:659:0:4","Karmeliterplatz","48.21556865","16.38035700","0100"
"at:49:659:0:5","Karmeliterplatz","48.21632285","16.38033903","0100"
"at:49:659:0:6","Karmeliterplatz","48.21549683","16.38034801","0100"
"at:49:66:0:1","Angermayergasse","48.18432552","16.26479772","0100"
"at:49:66:0:2","Angermayergasse","48.18427760","16.26492348","0100"
"at:49:660:0:1","KarthÃ¤userstraÃŸe","48.25056132","16.32401466","0100"
"at:49:660:0:2","KarthÃ¤userstraÃŸe","48.25109966","16.32356551","0100"
"at:49:660:0:3","KarthÃ¤userstraÃŸe","48.25055533","16.32376313","0100"
"at:49:661:0:1","Kaserngasse","48.14928158","16.25928206","0100"
"at:49:661:0:2","Kaserngasse","48.14905982","16.25904850","0100"
"at:49:662:0:1","Haus des Meeres","48.19762025","16.35370398","0100"
"at:49:662:0:2","Haus des Meeres","48.19733882","16.35400043","0100"
"at:49:662:0:3","Haus des Meeres","48.19724302","16.35314703","0100"
"at:49:664:0:1","Kellermanngasse","48.20534398","16.35183549","0100"
"at:49:664:0:2","Kellermanngasse","48.20543379","16.35158396","0100"
"at:49:665:0:1","Kempfengerngasse","48.22005777","16.29591536","0100"
"at:49:665:0:2","Kempfengerngasse","48.21997996","16.29591536","0100"
"at:49:666:0:1","Keplerplatz U","48.17816805","16.37604508","0100"
"at:49:666:0:2","Keplerplatz","48.17925824","16.37611695","0100"
"at:49:666:0:3","Keplerplatz U","48.17805424","16.37601813","0100"
"at:49:666:0:4","Keplerplatz","48.17929418","16.37626966","0100"
"at:49:667:0:1","DreherstraÃŸe/Hoefftgasse","48.15501703","16.47199414","0100"
"at:49:668:0:1","Kerbelgasse","48.21740625","16.24968806","0100"
"at:49:669:0:1","Familienplatz","48.21435353","16.31912783","0100"
"at:49:669:0:2","Familienplatz","48.21342571","16.31855291","0100"
"at:49:669:0:4","Familienplatz","48.21391656","16.31884037","0100"
"at:49:669:0:5","Familienplatz","48.21354543","16.31955902","0100"
"at:49:67:0:1","AnschÃ¼tzgasse","48.19024869","16.32273007","0100"
"at:49:67:0:2","AnschÃ¼tzgasse","48.19045230","16.32331398","0100"
"at:49:67:0:3","AnschÃ¼tzgasse","48.19023072","16.32264922","0100"
"at:49:67:0:4","AnschÃ¼tzgasse","48.19062598","16.32265821","0100"
"at:49:67:0:5","AnschÃ¼tzgasse","48.19014688","16.32256838","0100"
"at:49:67:0:7","AnschÃ¼tzgasse","48.19042835","16.32320618","0100"
"at:49:67:0:8","AnschÃ¼tzgasse","48.19006304","16.32326008","0100"
"at:49:670:0:1","KettenbrÃ¼ckengasse","48.19666219","16.35807878","0100"
"at:49:670:0:2","KettenbrÃ¼ckengasse","48.19654842","16.35910286","0100"
"at:49:670:0:3","KettenbrÃ¼ckengasse","48.19718913","16.35832132","0100"
"at:49:670:0:4","KettenbrÃ¼ckengasse","48.19660830","16.35809674","0100"
"at:49:671:0:1","LembÃ¶ckgasse","48.12810221","16.30734193","0100"
"at:49:671:0:2","LembÃ¶ckgasse","48.12773046","16.30697362","0100"
"at:49:671:0:3","LembÃ¶ckgasse","48.12784439","16.30755753","0100"
"at:49:672:0:1","Keylwerthgasse","48.25111162","16.28852223","0100"
"at:49:672:0:2","Keylwerthgasse","48.25084245","16.28786646","0100"
"at:49:672:0:3","Keylwerthgasse","48.25072282","16.28845036","0100"
"at:49:673:0:1","KhevenhÃ¼llerstraÃŸe","48.24344864","16.30726108","0100"
"at:49:673:0:2","KhevenhÃ¼llerstraÃŸe","48.24365802","16.30691074","0100"
"at:49:674:0:1","Khleslplatz","48.16259139","16.32218210","0100"
"at:49:675:0:1","Sanddorngasse","48.21868115","16.45775584","0100"
"at:49:676:0:1","Kierischitzweg","48.20006922","16.45699227","0100"
"at:49:676:0:2","Kierischitzweg","48.19999138","16.45734262","0100"
"at:49:677:0:1","Kinskygasse/Rossakgasse","48.14614689","16.33103949","0100"
"at:49:679:0:1","Kirchfeldgasse","48.15966125","16.30894093","0100"
"at:49:679:0:2","Kirchfeldgasse","48.15927175","16.30806957","0100"
"at:49:68:0:1","Anton-Bosch-Gasse","48.26950170","16.38748962","0100"
"at:49:68:0:2","Anton-Bosch-Gasse","48.26940602","16.38740877","0100"
"at:49:680:0:1","Kirchstetterngasse","48.20696043","16.33174916","0100"
"at:49:681:0:1","Jungbauerweg","48.15516085","16.34543050","0100"
"at:49:681:0:2","Jungbauerweg","48.15538858","16.34508914","0100"
"at:49:682:0:1","Kirschenallee","48.21440741","16.51911976","0100"
"at:49:682:0:2","Kirschenallee","48.21398839","16.51947010","0100"
"at:49:682:0:3","Kirschenallee","48.21459896","16.51929044","0100"
"at:49:683:0:1","KleehÃ¤ufel","48.20804402","16.44576333","0100"
"at:49:683:0:2","KleehÃ¤ufel","48.20806198","16.44604181","0100"
"at:49:684:0:1","Klebindergraben","48.16048219","16.45358766","0100"
"at:49:685:0:1","Klederinger StraÃŸe","48.13138190","16.42332342","0100"
"at:49:685:0:2","Klederinger StraÃŸe","48.13147783","16.42335935","0100"
